"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2022","103.943","103.725","104.005","103.530","21.95K","0.24%"
"05/11/2022","103.874","103.960","104.155","103.405","","-0.07%"
"05/12/2022","104.897","104.070","104.955","103.915","45.49K","0.98%"
"05/13/2022","104.621","104.835","105.065","104.500","33.58K","-0.26%"
"05/16/2022","104.200","104.650","104.700","104.155","22.16K","-0.40%"
"05/17/2022","103.407","104.175","104.260","103.250","28.48K","-0.76%"
"05/18/2022","103.862","103.350","103.960","103.235","30.63K","0.44%"
"05/19/2022","102.751","103.870","103.935","102.695","28.63K","-1.07%"
"05/20/2022","103.173","102.950","103.295","102.805","20.45K","0.41%"
"05/23/2022","102.097","103.020","103.070","102.045","31.09K","-1.04%"
"05/24/2022","101.870","102.145","102.335","101.655","28.49K","-0.22%"
"05/25/2022","102.077","101.760","102.470","101.750","22.75K","0.20%"
"05/26/2022","101.858","102.100","102.290","101.760","13.82K","-0.21%"
"05/27/2022","101.698","101.750","101.955","101.455","16.94K","-0.16%"
"05/30/2022","101.305","101.670","101.735","101.300","10.53K","-0.39%"
"05/31/2022","101.766","101.420","102.205","101.420","20.17K","0.46%"
"06/01/2022","102.529","101.770","102.750","101.770","19.39K","0.75%"
"06/02/2022","101.832","102.600","102.645","101.745","21.91K","-0.68%"
"06/03/2022","102.160","101.780","102.245","101.660","14.93K","0.32%"
"06/06/2022","102.447","102.230","102.475","101.865","20.90K","0.28%"
"06/07/2022","102.325","102.475","102.850","102.260","26.22K","-0.12%"
"06/08/2022","102.546","102.405","102.780","102.265","34.47K","0.22%"
"06/09/2022","103.218","102.590","103.365","102.090","32.61K","0.66%"
"06/10/2022","104.151","103.300","104.235","103.060","18.28K","0.90%"
"06/13/2022","104.947","104.290","104.825","104.290","0.58K","0.76%"
"06/14/2022","105.342","105.005","105.475","104.480","33.47K","0.38%"
"06/15/2022","104.935","105.130","105.565","104.425","61.62K","-0.39%"
"06/16/2022","103.417","104.600","105.280","103.200","45.61K","-1.45%"
"06/17/2022","104.488","103.685","104.885","103.640","33.36K","1.04%"
"06/20/2022","104.488","104.500","104.590","104.015","12.23K","0.00%"
"06/21/2022","104.211","104.245","104.315","103.730","15.50K","-0.27%"
"06/22/2022","103.981","104.215","104.730","103.615","27.61K","-0.22%"
"06/23/2022","104.192","104.000","104.545","103.840","33.25K","0.20%"
"06/24/2022","103.959","104.155","104.280","103.740","26.03K","-0.22%"
"06/27/2022","103.678","103.865","103.995","103.420","21.55K","-0.27%"
"06/28/2022","104.261","103.705","104.370","103.505","20.86K","0.56%"
"06/29/2022","104.849","104.270","104.895","104.140","31.70K","0.56%"
"06/30/2022","104.464","104.835","105.315","104.405","30.31K","-0.37%"
"07/01/2022","104.909","104.515","105.440","104.515","20.12K","0.43%"
"07/04/2022","104.909","104.910","105.055","104.580","10.92K","0.00%"
"07/05/2022","106.320","104.915","106.580","104.835","50.06K","1.34%"
"07/06/2022","106.898","106.330","107.070","106.135","38.05K","0.54%"
"07/07/2022","106.959","106.870","107.050","106.530","21.33K","0.06%"
"07/08/2022","106.821","106.835","107.615","106.640","40.05K","-0.13%"
"07/11/2022","107.829","106.685","108.085","106.685","25.53K","0.94%"
"07/12/2022","107.912","107.995","108.420","107.670","31.34K","0.08%"
"07/13/2022","107.756","108.030","108.415","107.270","38.69K","-0.14%"
"07/14/2022","108.407","108.070","109.140","108.015","42.04K","0.60%"
"07/15/2022","107.911","108.440","108.585","107.760","24.43K","-0.46%"
"07/18/2022","107.231","107.815","107.900","106.745","28.18K","-0.63%"
"07/19/2022","106.550","107.300","107.490","106.250","39.64K","-0.64%"
"07/20/2022","106.953","106.555","107.130","106.230","31.20K","0.38%"
"07/21/2022","106.804","106.975","107.250","106.300","36.50K","-0.14%"
"07/22/2022","106.621","106.525","107.250","105.990","39.75K","-0.17%"
"07/25/2022","106.355","106.405","106.760","106.065","23.70K","-0.25%"
"07/26/2022","107.044","106.315","107.150","106.055","29.92K","0.65%"
"07/27/2022","106.331","107.020","107.300","106.130","48.13K","-0.67%"
"07/28/2022","106.236","106.265","106.850","105.925","39.03K","-0.09%"
"07/29/2022","105.779","106.070","106.535","105.410","41.38K","-0.43%"
"08/01/2022","105.336","105.730","105.920","105.105","28.39K","-0.42%"
"08/02/2022","106.104","105.250","106.200","104.920","38.60K","0.73%"
"08/03/2022","106.377","106.255","106.700","105.855","42.57K","0.26%"
"08/04/2022","105.566","106.365","106.410","105.540","25.63K","-0.76%"
"08/05/2022","106.490","105.610","106.810","105.580","42.82K","0.88%"
"08/08/2022","106.323","106.490","106.670","105.975","31.70K","-0.16%"
"08/09/2022","106.252","106.240","106.310","105.855","16.79K","-0.07%"
"08/10/2022","105.080","106.220","106.290","104.515","41.86K","-1.10%"
"08/11/2022","104.994","105.105","105.335","104.520","33.29K","-0.08%"
"08/12/2022","105.510","105.015","105.770","104.970","34.92K","0.49%"
"08/15/2022","106.433","105.515","106.435","105.435","39.74K","0.87%"
"08/16/2022","106.388","106.365","106.840","106.205","25.80K","-0.04%"
"08/17/2022","106.486","106.370","106.795","106.180","23.27K","0.09%"
"08/18/2022","107.415","106.575","107.495","106.425","33.75K","0.87%"
"08/19/2022","108.098","107.415","108.140","107.415","35.34K","0.64%"
"08/22/2022","108.981","108.055","109.025","108.020","42.10K","0.82%"
"08/23/2022","108.554","108.915","109.205","107.990","49.63K","-0.39%"
"08/24/2022","108.616","108.490","109.055","108.295","23.54K","0.06%"
"08/25/2022","108.433","108.605","108.645","107.945","21.60K","-0.17%"
"08/26/2022","108.751","108.425","108.825","107.480","42.70K","0.29%"
"08/29/2022","108.790","108.800","109.445","108.435","31.42K","0.04%"
"08/30/2022","108.749","108.635","109.085","108.235","28.11K","-0.04%"
"08/31/2022","108.665","108.730","109.170","108.335","27.08K","-0.08%"
"09/01/2022","109.678","108.825","109.980","108.735","33.69K","0.93%"
"09/02/2022","109.510","109.600","109.695","108.910","34.48K","-0.15%"
"09/05/2022","109.510","109.825","110.260","109.695","19.16K","0.00%"
"09/06/2022","110.204","109.605","110.550","109.370","30.82K","0.63%"
"09/07/2022","109.832","110.320","110.785","109.515","40.29K","-0.34%"
"09/08/2022","109.713","109.695","110.250","109.290","51.70K","-0.11%"
"09/09/2022","108.997","109.540","109.550","108.350","38.77K","-0.65%"
"09/12/2022","108.316","108.620","108.865","107.800","50.93K","-0.62%"
"09/13/2022","109.809","108.210","109.920","107.670","44.30K","1.38%"
"09/14/2022","109.631","109.835","109.920","109.265","54.43K","-0.16%"
"09/15/2022","109.711","109.585","109.925","109.375","21.84K","0.07%"
"09/16/2022","109.736","109.785","110.260","109.450","14.36K","0.02%"
"09/19/2022","109.982","109.700","110.080","109.540","0.14K","0.22%"
"09/20/2022","109.942","109.290","110.015","109.075","28.29K","-0.04%"
"09/21/2022","110.346","109.900","111.360","109.860","51.63K","0.37%"
"09/22/2022","111.105","111.220","111.580","110.220","55.61K","0.69%"
"09/23/2022","112.962","111.005","113.000","110.840","54.78K","1.67%"
"09/26/2022","114.020","112.990","114.445","112.665","87.87K","0.94%"
"09/27/2022","114.047","113.845","114.425","113.260","55.23K","0.02%"
"09/28/2022","112.508","114.105","114.745","112.455","99.32K","-1.35%"
"09/29/2022","112.202","112.960","113.720","111.950","56.44K","-0.27%"
"09/30/2022","112.084","111.810","112.700","111.540","54.60K","-0.11%"
